,open,high,low,close
2012-11-10T22:00:00.000000000Z,82.557,82.686,82.557,82.670
2012-11-11T22:00:00.000000000Z,82.670,82.956,82.483,82.894
2012-11-12T22:00:00.000000000Z,82.894,83.034,82.374,82.832
2012-11-13T22:00:00.000000000Z,82.832,83.670,82.831,83.262
2012-11-14T22:00:00.000000000Z,83.262,84.034,82.977,83.864
2012-11-15T22:00:00.000000000Z,83.864,84.166,83.458,84.065
2012-11-17T22:00:00.000000000Z,84.065,84.323,84.065,84.259
2012-11-18T22:00:00.000000000Z,84.259,84.790,84.160,84.768
2012-11-19T22:00:00.000000000Z,84.768,84.860,84.350,84.839
2012-11-20T22:00:00.000000000Z,84.839,85.557,84.538,85.549
2012-11-21T22:00:00.000000000Z,85.549,85.958,85.445,85.684
2012-11-22T22:00:00.000000000Z,85.684,86.245,85.338,86.193
2012-11-23T22:00:00.000000000Z,86.193,86.193,86.193,86.193
2012-11-24T22:00:00.000000000Z,86.193,86.193,86.072,86.122
2012-11-25T22:00:00.000000000Z,86.122,86.440,85.594,85.898
2012-11-26T22:00:00.000000000Z,85.898,86.266,85.658,85.822
2012-11-27T22:00:00.000000000Z,85.822,86.000,85.240,85.986
2012-11-28T22:00:00.000000000Z,85.986,86.124,85.470,85.695
2012-11-29T22:00:00.000000000Z,85.695,86.254,85.558,86.006
2012-12-02T22:00:00.000000000Z,86.006,86.006,85.390,85.709
2012-12-03T22:00:00.000000000Z,85.709,85.930,85.445,85.758
2012-12-04T22:00:00.000000000Z,85.758,86.268,85.680,86.227
2012-12-05T22:00:00.000000000Z,86.227,86.578,86.000,86.405
2012-12-06T22:00:00.000000000Z,86.405,86.720,86.098,86.516
2012-12-07T22:00:00.000000000Z,86.516,86.516,86.516,86.516
2012-12-09T22:00:00.000000000Z,86.516,86.662,86.052,86.376
2012-12-10T22:00:00.000000000Z,86.376,86.944,86.172,86.877
2012-12-11T22:00:00.000000000Z,86.877,88.060,86.843,87.875
2012-12-12T22:00:00.000000000Z,87.875,88.302,87.698,88.064
2012-12-13T22:00:00.000000000Z,88.064,88.536,87.810,88.245
2012-12-15T22:00:00.000000000Z,88.245,89.048,88.245,88.994
2012-12-16T22:00:00.000000000Z,88.994,88.996,88.084,88.478
2012-12-17T22:00:00.000000000Z,88.478,88.767,88.232,88.708
2012-12-18T22:00:00.000000000Z,88.708,88.882,88.308,88.483
2012-12-19T22:00:00.000000000Z,88.483,88.536,87.850,88.441
2012-12-20T22:00:00.000000000Z,88.441,88.501,87.541,87.625
2012-12-22T22:00:00.000000000Z,87.625,87.774,87.625,87.740
2012-12-23T22:00:00.000000000Z,87.740,88.004,87.668,87.874
2012-12-25T22:00:00.000000000Z,87.874,88.866,87.874,88.866
2012-12-26T22:00:00.000000000Z,88.866,89.370,88.635,89.327
2012-12-27T22:00:00.000000000Z,89.327,89.830,89.054,89.056
2012-12-29T22:00:00.000000000Z,89.056,89.056,88.844,88.958
2012-12-30T22:00:00.000000000Z,88.958,90.166,88.786,89.910
2013-01-01T22:00:00.000000000Z,89.910,91.748,89.910,91.734
2013-01-02T22:00:00.000000000Z,91.734,91.761,91.122,91.308
2013-01-03T22:00:00.000000000Z,91.308,92.482,91.301,92.394
2013-01-04T22:00:00.000000000Z,92.394,92.394,92.394,92.394
2013-01-05T22:00:00.000000000Z,92.394,92.394,92.274,92.319
2013-01-06T22:00:00.000000000Z,92.319,92.844,91.772,92.226
2013-01-07T22:00:00.000000000Z,92.226,92.257,91.194,91.436
2013-01-08T22:00:00.000000000Z,91.436,92.532,91.224,92.398
2013-01-09T22:00:00.000000000Z,92.398,94.099,92.350,94.081
2013-01-10T22:00:00.000000000Z,94.081,94.528,93.786,93.956
2013-01-11T22:00:00.000000000Z,93.956,93.956,93.956,93.956
2013-01-12T22:00:00.000000000Z,93.956,94.242,93.956,94.225
2013-01-13T22:00:00.000000000Z,94.225,94.646,94.070,94.542
2013-01-14T22:00:00.000000000Z,94.542,94.664,93.106,93.810
2013-01-15T22:00:00.000000000Z,93.810,93.880,92.474,93.442
2013-01-16T22:00:00.000000000Z,93.442,95.016,92.553,94.782
2013-01-17T22:00:00.000000000Z,94.782,95.024,94.168,94.676
2013-01-18T22:00:00.000000000Z,94.676,94.676,94.676,94.676
2013-01-19T22:00:00.000000000Z,94.676,94.818,94.658,94.660
2013-01-20T22:00:00.000000000Z,94.660,94.834,93.945,94.238
2013-01-21T22:00:00.000000000Z,94.238,94.952,93.306,93.726
2013-01-22T22:00:00.000000000Z,93.726,93.880,92.808,93.523
2013-01-23T22:00:00.000000000Z,93.523,94.685,93.025,94.408
2013-01-24T22:00:00.000000000Z,94.408,95.098,94.351,94.733
2013-01-26T22:00:00.000000000Z,94.733,94.872,94.733,94.840
2013-01-27T22:00:00.000000000Z,94.840,95.027,94.098,94.646
2013-01-28T22:00:00.000000000Z,94.646,95.044,94.191,95.034
2013-01-29T22:00:00.000000000Z,95.034,95.465,94.678,94.884
2013-01-30T22:00:00.000000000Z,94.884,95.668,94.270,95.608
2013-01-31T22:00:00.000000000Z,95.608,96.732,95.414,96.591
2013-02-01T22:00:00.000000000Z,96.591,96.591,96.591,96.591
2013-02-02T22:00:00.000000000Z,96.591,96.784,96.540,96.732
2013-02-03T22:00:00.000000000Z,96.732,97.078,96.177,96.427
2013-02-04T22:00:00.000000000Z,96.427,97.438,95.958,97.280
2013-02-05T22:00:00.000000000Z,97.280,97.410,96.108,96.614
2013-02-06T22:00:00.000000000Z,96.614,97.037,95.830,96.261
2013-02-07T22:00:00.000000000Z,96.261,96.458,95.140,95.590
2013-02-08T22:00:00.000000000Z,95.590,95.590,95.590,95.590
2013-02-10T22:00:00.000000000Z,95.590,96.893,95.185,96.730
2013-02-11T22:00:00.000000000Z,96.730,96.885,95.792,96.336
2013-02-12T22:00:00.000000000Z,96.336,96.870,96.068,96.842
2013-02-13T22:00:00.000000000Z,96.842,96.978,95.990,96.214
2013-02-14T22:00:00.000000000Z,96.214,96.690,95.534,96.355
2013-02-15T22:00:00.000000000Z,96.355,96.355,96.355,96.355
2013-02-17T22:00:00.000000000Z,96.355,96.920,96.355,96.836
2013-02-18T22:00:00.000000000Z,96.836,96.950,96.474,96.909
2013-02-19T22:00:00.000000000Z,96.909,97.082,95.852,95.965
2013-02-20T22:00:00.000000000Z,95.965,96.205,95.064,95.402
2013-02-21T22:00:00.000000000Z,95.402,96.570,95.279,96.408
2013-02-24T22:00:00.000000000Z,96.408,97.445,93.556,94.188
2013-02-25T22:00:00.000000000Z,94.188,95.315,93.046,94.086
2013-02-26T22:00:00.000000000Z,94.086,94.578,92.968,94.357
2013-02-27T22:00:00.000000000Z,94.357,95.118,94.098,94.552
2013-02-28T22:00:00.000000000Z,94.552,95.620,94.430,95.492
2013-03-01T22:00:00.000000000Z,95.492,95.492,95.492,95.492
2013-03-03T22:00:00.000000000Z,95.492,95.542,94.448,95.314
2013-03-04T22:00:00.000000000Z,95.314,95.782,95.034,95.698
2013-03-05T22:00:00.000000000Z,95.698,96.393,95.626,96.265
2013-03-06T22:00:00.000000000Z,96.265,97.602,96.020,97.359
2013-03-07T22:00:00.000000000Z,97.359,99.062,97.328,98.264
2013-03-08T22:00:00.000000000Z,98.264,98.264,98.264,98.264
2013-03-10T21:00:00.000000000Z,98.264,99.015,97.959,98.984
