,net_profit,win_%,loss_%,win_max,loss_max,win_mean,loss_mean,average_holding_time_per_trade,max_cons_loss,mean_cons_loss,trading_exp
close_sma_6_close_sma_30,22.68,32.20,67.60,141.82,-40.09,13.96,-6.58,8:41:45,12,3,0.05
close_sma_6_close_sma_32,29.90,33.60,66.40,142.13,-43.12,14.19,-7.09,10:53:52,14,3,0.06
close_sma_6_close_sma_35,-132.94,31.20,68.80,144.12,-42.31,15.33,-7.34,13:13:19,20,3,-0.27
close_sma_6_close_sma_36,-134.35,31.40,68.40,138.30,-38.41,14.79,-7.18,13:50:09,12,3,-0.27
close_sma_6_close_sma_40,-113.25,31.00,69.00,138.31,-43.22,16.03,-7.53,15:49:40,13,3,-0.23
close_sma_6_close_sma_45,-243.04,30.60,69.20,130.14,-56.50,15.38,-7.50,18:14:24,17,3,-0.48
close_sma_6_close_sma_48,-270.17,29.80,70.00,133.07,-50.61,15.83,-7.51,20:14:38,13,3,-0.54
close_sma_6_close_sma_50,-270.13,29.40,70.60,134.04,-53.50,16.14,-7.49,21:40:40,17,3,-0.54
close_sma_6_close_sma_56,-177.84,30.60,69.40,131.24,-67.92,16.46,-7.77,23:59:16,13,3,-0.36
close_sma_6_close_sma_64,-98.70,27.00,72.80,139.11,-66.41,19.20,-7.39,3:17:52,16,4,-0.20
close_sma_6_close_sma_70,-151.11,27.00,73.00,143.83,-70.86,18.97,-7.43,5:07:04,14,4,-0.30
close_sma_6_close_sma_72,-177.00,27.60,72.40,150.02,-69.34,18.83,-7.67,5:28:19,14,4,-0.36
close_sma_6_close_sma_80,-154.04,29.60,70.40,137.17,-69.49,17.86,-7.95,9:41:52,14,3,-0.31
close_sma_6_close_sma_90,-226.93,26.65,73.35,133.58,-66.09,19.08,-7.59,14:04:59,20,4,-0.48
close_sma_6_close_sma_96,-294.77,25.61,74.39,113.38,-62.66,18.92,-7.39,16:30:19,14,4,-0.65
close_sma_6_close_sma_100,-218.33,26.00,74.00,113.92,-63.37,20.59,-7.93,21:08:39,13,4,-0.51
close_sma_7_close_sma_8,-252.79,37.60,62.20,20.99,-20.51,3.39,-2.86,5:37:55,8,2,-0.50
close_sma_7_close_sma_9,-123.51,39.20,60.40,36.39,-18.63,4.65,-3.43,8:30:28,8,2,-0.25
close_sma_7_close_sma_10,127.88,41.20,58.60,58.32,-26.79,6.58,-4.19,11:09:28,9,2,0.26
close_sma_7_close_sma_12,54.68,37.00,62.60,62.89,-28.50,8.88,-5.07,14:52:12,9,3,0.11
close_sma_7_close_sma_14,28.84,38.40,61.60,73.63,-32.13,10.37,-6.37,18:26:52,12,2,0.06
close_sma_7_close_sma_15,137.59,38.40,61.40,64.57,-32.22,11.23,-6.58,20:00:36,10,2,0.27
close_sma_7_close_sma_16,121.23,37.80,62.00,72.97,-33.50,11.45,-6.59,21:23:02,14,3,0.24
close_sma_7_close_sma_18,201.52,38.20,61.80,75.50,-39.91,12.03,-6.78,22:47:45,11,3,0.41
close_sma_7_close_sma_20,322.86,38.40,61.40,89.49,-41.73,13.17,-7.18,1:20:24,14,3,0.65
close_sma_7_close_sma_24,256.32,39.20,60.80,96.99,-38.89,12.56,-7.26,5:26:38,17,3,0.51
close_sma_7_close_sma_25,350.08,38.00,62.00,102.15,-41.28,14.08,-7.50,6:00:36,19,3,0.70
close_sma_7_close_sma_28,70.14,36.00,64.00,100.91,-42.14,13.20,-7.20,8:40:12,18,3,0.14
close_sma_7_close_sma_30,-55.82,35.00,64.80,147.34,-42.04,13.13,-7.27,10:20:02,12,3,-0.12
close_sma_7_close_sma_32,-55.34,33.80,66.20,141.33,-42.75,13.95,-7.29,12:09:36,12,3,-0.11
close_sma_7_close_sma_35,0.87,33.60,66.40,144.29,-42.62,15.43,-7.81,15:40:04,12,3,-0.00
close_sma_7_close_sma_36,-70.08,33.40,66.60,141.89,-40.50,15.05,-7.76,15:50:24,12,3,-0.14
close_sma_7_close_sma_40,-197.17,33.80,66.00,137.72,-66.30,15.39,-8.48,18:02:31,16,3,-0.39
close_sma_7_close_sma_45,-220.34,31.80,68.00,131.64,-69.46,15.33,-7.82,22:18:57,14,3,-0.44
close_sma_7_close_sma_48,-291.35,31.40,68.60,129.29,-60.18,14.77,-7.61,23:44:52,14,3,-0.58
close_sma_7_close_sma_50,-299.27,31.60,68.40,126.79,-59.69,14.83,-7.72,0:59:45,15,3,-0.59
close_sma_7_close_sma_56,-217.33,31.20,68.80,128.39,-65.29,15.88,-7.83,3:42:36,13,3,-0.43
close_sma_7_close_sma_64,-219.76,30.20,69.80,126.11,-62.04,16.36,-7.71,6:52:19,13,3,-0.44
close_sma_7_close_sma_70,-148.71,29.40,70.60,135.90,-72.92,18.10,-7.96,8:22:19,13,4,-0.30
close_sma_7_close_sma_72,-120.69,29.40,70.60,136.83,-71.37,18.26,-7.94,9:19:40,14,4,-0.24
close_sma_7_close_sma_80,-153.61,30.22,69.78,125.86,-65.40,17.50,-8.06,15:51:00,23,3,-0.34
close_sma_7_close_sma_90,-217.27,28.05,71.95,132.03,-66.65,19.19,-8.18,19:12:49,20,4,-0.50
close_sma_7_close_sma_96,-244.36,27.58,72.42,113.63,-60.11,19.02,-8.05,21:56:06,14,3,-0.58
close_sma_7_close_sma_100,-170.63,27.68,72.32,115.83,-63.66,20.41,-8.40,0:49:58,12,3,-0.43
close_sma_8_close_sma_9,-190.32,38.40,60.80,26.16,-19.90,3.68,-2.95,5:50:38,12,3,-0.38
close_sma_8_close_sma_10,42.95,42.60,57.40,38.63,-20.98,5.18,-3.69,9:12:00,10,2,0.09
close_sma_8_close_sma_12,56.83,40.20,59.60,69.79,-32.97,8.57,-5.59,14:18:57,11,2,0.11
close_sma_8_close_sma_14,6.75,42.20,57.60,74.22,-31.34,8.92,-6.51,17:47:16,10,2,0.01
close_sma_8_close_sma_15,85.15,42.20,57.80,62.63,-32.52,9.67,-6.76,19:05:45,10,2,0.17
close_sma_8_close_sma_16,196.49,42.20,57.60,70.65,-37.07,10.72,-7.17,21:14:38,15,2,0.39
close_sma_8_close_sma_18,71.85,39.00,60.80,72.14,-38.56,11.35,-7.04,22:43:40,11,3,0.15
close_sma_8_close_sma_20,186.08,39.40,60.60,78.58,-41.04,11.96,-7.16,1:34:19,14,3,0.37
close_sma_8_close_sma_24,135.68,37.80,62.20,97.66,-38.58,12.49,-7.15,5:37:48,18,3,0.27
close_sma_8_close_sma_25,154.12,37.20,62.60,100.91,-38.19,12.79,-7.11,6:39:00,18,3,0.31
close_sma_8_close_sma_28,6.30,36.00,64.00,114.20,-45.91,13.52,-7.59,10:05:09,12,3,0.01
close_sma_8_close_sma_30,-45.66,33.60,66.40,131.07,-42.83,13.90,-7.17,11:29:31,12,3,-0.09
close_sma_8_close_sma_32,-123.10,33.40,66.60,133.01,-42.62,14.01,-7.39,12:55:33,11,3,-0.24
close_sma_8_close_sma_35,-142.05,33.60,66.40,131.79,-39.29,14.92,-7.98,16:26:38,17,3,-0.29
close_sma_8_close_sma_36,-134.68,34.40,65.60,129.38,-40.01,14.83,-8.18,16:45:50,15,3,-0.26
close_sma_8_close_sma_40,-306.67,34.00,66.00,118.57,-64.65,14.24,-8.26,20:39:07,14,3,-0.61
close_sma_8_close_sma_45,-281.91,31.80,68.20,121.15,-49.66,15.00,-7.82,0:02:09,16,3,-0.56
close_sma_8_close_sma_48,-222.93,32.80,67.20,130.53,-62.02,14.58,-7.78,3:44:09,15,3,-0.45
close_sma_8_close_sma_50,-197.15,32.80,67.20,129.02,-61.62,15.11,-7.96,4:03:07,12,3,-0.39
close_sma_8_close_sma_56,-266.59,31.40,68.40,127.31,-58.75,15.17,-7.74,5:43:19,13,3,-0.53
close_sma_8_close_sma_64,-232.03,30.20,69.80,131.56,-64.81,16.69,-7.89,8:47:16,12,3,-0.47
close_sma_8_close_sma_70,-263.11,29.60,70.40,133.58,-62.52,16.59,-7.72,10:05:52,14,4,-0.52
close_sma_8_close_sma_72,-237.14,29.22,70.58,133.19,-63.69,16.99,-7.73,11:54:41,17,4,-0.49
close_sma_8_close_sma_80,-199.03,30.65,69.35,126.76,-62.37,17.41,-8.35,19:39:15,19,3,-0.45
close_sma_8_close_sma_90,-319.32,28.64,71.36,110.34,-63.79,17.52,-8.10,21:47:49,12,3,-0.76
close_sma_8_close_sma_96,-215.46,28.93,71.07,104.08,-67.26,19.26,-8.61,2:12:29,12,3,-0.55
close_sma_8_close_sma_100,-246.92,28.00,72.00,109.01,-52.55,19.90,-8.65,5:53:16,13,4,-0.66
close_sma_9_close_sma_10,-79.43,42.20,57.80,26.72,-21.55,3.47,-2.81,6:00:21,11,2,-0.16
close_sma_9_close_sma_12,32.03,42.20,57.60,64.51,-27.88,7.01,-5.03,12:51:28,12,2,0.06
close_sma_9_close_sma_14,-68.62,40.20,59.80,48.69,-31.00,8.37,-5.86,16:50:16,10,2,-0.14
close_sma_9_close_sma_15,147.40,43.00,57.00,60.99,-35.44,9.81,-6.89,19:08:31,9,2,0.29
close_sma_9_close_sma_16,110.32,40.80,59.20,66.08,-35.59,10.31,-6.73,20:27:36,10,3,0.22
close_sma_9_close_sma_18,32.57,38.80,61.20,66.08,-37.78,10.75,-6.71,22:56:45,10,3,0.06
close_sma_9_close_sma_20,140.98,39.00,60.80,82.38,-39.30,11.80,-7.10,1:55:12,14,3,0.29
close_sma_9_close_sma_24,133.40,37.60,62.40,84.40,-36.42,11.86,-6.72,5:51:50,17,3,0.27
close_sma_9_close_sma_25,149.43,37.60,62.40,92.34,-36.89,12.29,-6.93,7:18:28,19,3,0.30
close_sma_9_close_sma_28,-10.34,35.20,64.80,108.21,-43.28,13.43,-7.33,11:00:21,14,3,-0.02
close_sma_9_close_sma_30,-40.72,35.20,64.80,132.66,-40.69,13.54,-7.48,12:29:31,13,3,-0.08
close_sma_9_close_sma_32,-192.04,34.20,65.80,131.75,-37.51,13.39,-7.54,14:20:16,16,3,-0.38
close_sma_9_close_sma_35,-192.36,37.00,63.00,130.82,-76.36,14.20,-8.95,18:11:45,14,3,-0.38
close_sma_9_close_sma_36,-218.87,35.60,64.40,130.37,-76.09,14.78,-8.85,18:28:48,14,3,-0.44
close_sma_9_close_sma_40,-242.07,33.80,66.20,120.31,-69.86,15.34,-8.56,22:20:31,14,3,-0.48
close_sma_9_close_sma_45,-234.53,31.60,68.40,118.47,-47.17,15.26,-7.74,3:25:55,15,3,-0.47
close_sma_9_close_sma_48,-219.97,31.60,68.40,120.26,-64.89,15.78,-7.93,3:58:33,13,3,-0.44
close_sma_9_close_sma_50,-245.14,30.60,69.40,130.43,-62.86,16.37,-7.92,5:21:36,14,3,-0.49
close_sma_9_close_sma_56,-350.67,31.40,68.60,122.69,-55.10,14.55,-7.68,8:14:09,13,3,-0.70
close_sma_9_close_sma_64,-310.43,30.96,69.04,130.41,-59.43,15.38,-7.81,11:20:31,12,3,-0.63
close_sma_9_close_sma_70,-248.48,31.48,68.52,127.55,-58.03,16.21,-8.22,14:30:42,14,3,-0.53
close_sma_9_close_sma_72,-266.04,30.45,69.55,124.42,-60.26,16.53,-8.06,15:05:42,13,3,-0.57
close_sma_9_close_sma_80,-169.22,31.03,68.97,130.25,-64.24,18.72,-9.03,0:58:13,18,3,-0.42
close_sma_9_close_sma_90,-261.78,30.58,69.42,104.80,-65.14,17.75,-8.76,1:16:59,13,3,-0.65
close_sma_9_close_sma_96,-215.70,30.30,69.42,108.04,-67.23,19.77,-9.49,8:28:45,11,3,-0.60
close_sma_9_close_sma_100,-229.37,29.30,70.70,107.77,-63.87,20.09,-9.24,10:21:17,13,3,-0.65
close_sma_10_close_sma_12,108.40,44.00,56.00,46.07,-26.56,5.79,-4.16,10:16:55,7,2,0.22
close_sma_10_close_sma_14,-85.40,40.00,60.00,51.77,-25.36,7.54,-5.31,14:58:55,9,2,-0.17
close_sma_10_close_sma_15,78.83,41.80,58.20,58.67,-31.65,8.90,-6.12,17:32:02,8,2,0.16
close_sma_10_close_sma_16,100.08,42.40,57.60,63.36,-31.76,9.66,-6.76,19:31:04,10,2,0.20
close_sma_10_close_sma_18,114.48,39.80,60.00,72.58,-38.56,10.73,-6.73,22:40:19,10,3,0.23
close_sma_10_close_sma_20,206.63,41.80,57.80,91.02,-39.77,11.46,-7.57,2:16:26,14,2,0.41
close_sma_10_close_sma_24,194.94,40.20,59.60,96.06,-38.07,11.63,-7.19,6:12:28,13,3,0.39
close_sma_10_close_sma_25,162.40,37.40,62.40,95.33,-34.00,12.82,-7.17,7:39:57,14,3,0.32
close_sma_10_close_sma_28,-56.82,36.20,63.80,109.58,-39.99,13.17,-7.65,11:26:24,15,3,-0.11
close_sma_10_close_sma_30,-172.76,36.60,63.40,128.02,-39.11,12.31,-7.65,13:19:26,16,3,-0.34
close_sma_10_close_sma_32,-131.68,35.80,64.20,132.20,-44.53,13.38,-7.87,15:14:31,15,3,-0.26
close_sma_10_close_sma_35,-215.56,34.60,65.40,134.24,-75.08,15.42,-8.82,18:59:45,15,3,-0.43
close_sma_10_close_sma_36,-227.00,35.80,64.20,130.56,-75.42,14.49,-8.79,19:24:28,14,3,-0.46
close_sma_10_close_sma_40,-287.05,35.40,64.60,117.24,-67.52,13.59,-8.34,22:59:31,13,3,-0.58
close_sma_10_close_sma_45,-232.32,32.40,67.40,117.44,-49.57,15.30,-8.04,4:19:48,12,3,-0.46
close_sma_10_close_sma_48,-283.34,32.20,67.80,114.51,-57.52,15.02,-7.97,5:45:28,11,3,-0.57
close_sma_10_close_sma_50,-260.76,34.00,66.00,117.01,-56.94,14.36,-8.19,6:14:09,12,3,-0.52
close_sma_10_close_sma_56,-348.18,32.00,68.00,125.16,-60.92,15.10,-8.13,10:13:26,11,3,-0.70
close_sma_10_close_sma_64,-368.54,32.37,67.63,128.58,-58.70,14.33,-7.99,13:02:36,13,3,-0.77
close_sma_10_close_sma_70,-226.06,32.89,67.11,122.77,-59.19,16.33,-8.75,17:08:11,13,3,-0.50
close_sma_10_close_sma_72,-262.13,31.44,68.56,123.76,-60.02,16.94,-8.64,18:29:06,12,3,-0.60
close_sma_10_close_sma_80,-192.78,30.81,69.19,112.30,-62.54,18.75,-9.05,2:19:41,17,4,-0.48
close_sma_10_close_sma_90,-270.67,31.20,68.53,102.85,-65.95,17.84,-9.18,6:13:16,13,3,-0.72
close_sma_10_close_sma_96,-283.29,28.61,71.39,104.84,-67.23,20.03,-9.15,10:53:12,11,3,-0.80
close_sma_10_close_sma_100,-225.09,29.85,70.15,104.77,-64.10,20.11,-9.52,15:46:01,13,4,-0.68
close_sma_12_close_sma_14,12.22,42.20,57.60,48.34,-23.28,5.46,-3.96,11:35:52,8,2,0.02
close_sma_12_close_sma_15,81.79,42.40,57.00,46.15,-33.68,7.35,-5.18,13:59:09,14,2,0.16
close_sma_12_close_sma_16,205.06,45.80,54.00,50.99,-37.68,8.27,-6.25,16:19:40,9,2,0.41
